Article,FA,LA,Title,SelfCite,CitationKey
2,Gail,Marc,,N,Ferguson2015
3,,,,N,Basch1994
4,,,,N,Park1921
5,Amado,Amado,,N,Padilla1980
6,ETextJr,ETextJr,,N,Cross1991
7,,,,N,Bourhis1997a
8,Alejandro,Min,,N,Portes1993
9,Judit,Fons,,N,Arends-Toth2006a
10,John,John,,N,Berry2005
11,Alisha,Alisha,,N,Ali2010
12,,,,N,Atkinson1993
13,Ursula,Arnd,,N,Piontkowski2002
14,David,Brit,,N,Sam2003
15,Wendy,Colleen,,N,Searle1990
16,Erik,Erik,,N,Cohen2011
17,Milton,Milton,,N,Gordon1964a
18,AnneMarie,Colleen,,N,Masgoret2006
19,Martha,Martha,,N,Baird2012
20,Lisa,Lisa,,N,Penaloza1989
21,,,,N,Giles1977
22,Teresa,Jennifer,,N,LaFromboise1993
23,Shahid,Shahid,,N,Karim2021
24,Carl,Jieying,,N,Maertz2016
25,Jayanthi,Jean,,N,Mistry2010
26,,,,N,Meleis2000
27,John,John,,N,Berry1998
28,,,,N,Berry1992
29,Stevan,Ivan,,N,Weine2006
30,Corrina,Dina,,N,Salo2015
31,Marisol,Juan,,N,Navas2005
32,Veronica,Jana,,N,Benet-Martinez2005
33,Stephen,Stephen,,N,Croucher2011
34,Stephen,Eric,,N,Croucher2017
35,Mark,Agata,,N,Loon2021
36,Jennifer,Jennifer,,N,Ballard-Kang2017
37,Marius,Marius,,N,Luedicke2011
38,Sunil,Anjali,,N,Bhatia2009
39,Saranya,Anne,,N,Ramakrishnan2018
40,Maurice,Jens,,N,Crul2010
41,Jennifer,Jennifer,,N,Wood2014
42,Irina,Rainer,,N,Mchitarjan2013
43,Alexandra,Alexandra,,N,Robinson2019
44,Brian,Brian,,N,Nolan2012
45,Richard,Victor,,N,Alba1997
46,Gloria,Gloria,,N,Anzaldua1987
47,Seth,Jose,,N,Schwartz2010a
48,Eugene,Eugene,,N,Tartakovsky2012
49,Martha,Pamela,,N,Baird2015
50,Simy,Ishita,,N,Joy2018
51,Greg,Greg,,N,Madison2006
52,Byeong,Denise,,N,Kim2019
53,Guida,Hannah,,N,DeAbreu2013
54,Sookjung,Sookjung,,N,Lee2018e
55,Hartmut,Hartmut,,N,Esser2004
56,Terri,Fortuna,,N,Mannarini2017
57,ChanHoong,ChanHoong,,N,Leong2014
58,WeiChin,WeiChin,,N,Hwang2006
59,Peter,Peter,,N,Weinreich2009
60,Suzanne,Lilian,,N,Huot2013
61,Dermot,Ciaran,,N,Ryan2008
62,Aida,Mila,,N,Hajro2019
63,Colleen,Larissa,,N,Ward2012
64,Mirsad,Krista,,N,Serdarevic2005
65,Gil,Odelia,,N,Epstein2015
66,JiaYan,JiaYan,,N,Pan2014b
67,Takeyuki,Takeyuki,,N,Tsuda2012
68,Jose,Jocelynda,,N,DelPilar2004
69,Uzi,Gabriel,,N,Ben-Shalom2003
70,Jean,Jean,,N,Phinney1990
71,Amado,William,,N,Padilla2003
72,Jeannette,Hans,,N,Riedel2011
73,Laura,Laura,,N,Enriquez2014
74,Alejandro,William,,N,Portes2009
75,Rose,Ilona,,N,Perez2018
76,Anne,Anne,,N,Alitolppa-Niitamo2004
77,,,,N,Szapocznik1978
78,Young,Young,,N,Kim1988
79,Lloyd,Lloyd,,N,Rogler1994
80,Lisa,Lisa,,N,Davenport2017
81,Teemu,Pasi,,N,Kemppainen2020
82,Saba,Ward,,N,Safdar2003
83,Marco,Andrea,,N,Martiniello2014
84,Sun,Sun,,N,Kim2004
85,Thomas,Thomas,,N,Faist2000
86,Colleen,Nicolas,,N,Ward2016
87,LRipley,LRipley,,N,Smith1999c
88,Cornelius,Ingemar,,N,Grove1985
89,Sergio,Sergio,,N,WalsAparicio2009
