Article,FA,LA,Title,SelfCite,CitationKey
2,Giorgia,John,,N,Dona1994
3,Valery,Kealee,,N,Chirkov2008
4,,Vincenzo,,N,Al-Sabiae1995
5,Fragiskos,George,,N,Gonidakis2013
6,Fumitaka,Campbell,,N,Noda1990
7,Rory,Yvette,,N,Fitzgerald2014
8,Christos,Venetsanos,,N,Prapas2019
9,Leiyu,Paul,,N,Shi2012
10,Suresh,Danijela,,N,Sundram2008
11,Joe,Richard,,N,Vignes1979
12,Emerson,John,,N,Ea2010
13,Jose,Silvia,,N,Gonzalez-Castro2011
14,Joyce,Marrie,,N,Maas2019
15,Monika,Monika,,N,Stodolska2000
16,Mary,Karien,,N,Nicolaou2006
17,Colleen,Irene,,N,Ward2005
18,Veronica,Melbourne,,N,Irvin2013
19,Eunju,Eunju,,N,Yoon2006
20,Canan,Tennur,,N,Koca2014
21,Heidi,Howard,,N,Ellis2010
22,Jin,Jin,,N,Lee2017d
23,JanErik,Inga,,N,Lonnqvist2015
24,Siobhan,Gemma,,N,Maty2011
25,Janxin,David,,N,Leu2011
26,Anna,Betty,,N,Sharapova2018
27,Hosung,Janice,,N,Shin2005
28,Michael,Malcolm,,N,Curran2002
29,Kristen,James,,N,Peek2010
30,Chiara,Elizabeth,,N,Sabina2015
31,Esther,Karima,,N,Lopez-Zafra2014
32,Amy,Margarita,,N,Bauer2012
33,Inga,Karmela,,N,Jasinskaja-Lahti2007
34,Kareen,Jenny,,N,Tonsing2016
35,Mary,Anna,,N,Ramos2011
36,Anisa,Daniel,,N,Goforth2014
37,Sun,Marisa,,N,Lee2019
38,Monique,Anja,,N,Delforterie2014
39,Rita,Rui,,N,Guerra2019
40,Kelly,Young,,N,McKay-Semmler2014
41,Katarina,Karen,,N,Sussner2008
42,Lyubov,Elizabeth,,N,Yarova2013
43,Savita,Savita,,N,Abrahams2007
44,Ning,William,,N,An2008
45,Robi,Paula,,N,Sonderegger2004
46,Jimena,Marcelo,,N,Segovia2013
47,Josephine,Dana,,N,Guevarra2005
48,Jose,Jose,,N,Reyes1995
49,Elena,Nancy,,N,Fuentes-Afflick2008
50,Dina,Wing,,N,Birman2010
51,Andrew,Oscar,,N,Fuligni2008
52,Maja,Katharina,,N,Schachner2016
53,Kimberly,Norma,,N,Updegraff2012
54,Leanne,Esme,,N,DeSouza2013
55,Kyriakos,James,,N,Markides2012
56,Najood,Najood,,N,Azar2009
57,Virgo,Virgo,,N,Handojo2000
58,Marla,Dianne,,N,Eisenberg2019
59,Aimee,Eliseo,,N,Afable-Munsuz2013
60,Chantal,Julia,,N,Vella2011
61,Jacob,Jacob,,N,Nortey2005
62,Rubia,Brian,,N,Valente2017
63,Hua,Jessie,,N,Zan2018
64,Eni,Eni,,N,Schall2008
65,Hieu,Thao,,N,Ngo2007
66,Frosso,Ann,,N,Motti-Stefanidi2008
67,EunOk,Jun,,N,Im2015
68,Raika,Raika,,N,Abdulahad2012
69,Kurt,Ai,,N,Organista2005
70,Anne,Jens,,N,Reitz2014
71,HsuehFen,Kyungeh,,N,Kao2012
72,Morton,Feng,,N,Beiser2017
73,Burcin,Heleen,,N,Ince2014
74,David,Carl,,N,Schwebel2009
75,Katherine,Beate,,N,Hoggatt2012
76,James,Michele,,N,Hsiao2008
77,Hisham,David,,N,Abu-Rayya2017
78,Eunju,Richard,,N,Yoon2010
79,Lisbeth,Erik,,N,Iglesias-Rios2015
80,Carla,Elizabeth,,N,Hilario2014
81,Edison,Dina,,N,Trickett2005
82,Ani,Ani,,N,Kassabian2003
83,Chiara,Jennifer,,N,Sabina2013
84,Hongyun,Mark,,N,Fu2012
85,Branden,Branden,,N,Johnson2011
86,Hector,Mary,,N,Gonzalez2011
87,Molly,Molly,,N,Dondero2018
88,Shaghayegh,Shaghayegh,,N,Nourian2012
89,Yoonsun,Hyeouk,,N,Choi2016
90,Berta,Lluis,,N,Vall2015
91,Wing,Robert,,N,Chan2015
92,Carla,Anu,,N,Schubert2019
93,Laura,Donna,,N,Shellman2014
94,Oksoo,Oksoo,,N,Hong1997
95,Zeynep,Zeynep,,N,Aycan1997
96,Carlos,Kristin,,N,Cuevas2012
97,Yuri,David,,N,Jang2014
98,Aprile,Su,,N,Benner2009
99,Ilana,Ilana,,N,Akresh2007
100,Mesay,Mesay,,N,Tegegne2018
101,Yu,Emily,,N,Xie2011
102,Pratikshya,Douglas,,N,Bohra-Mishra2015
103,Cathy,Cathy,,N,Baker2016
104,Fernando,Fernando,,N,Rivera2007
105,Fragiskos,Michael,,N,Gonidakis2011
106,Cynthia,Wally,,N,Leung2009
107,TzuI,Kimlin,,N,Tsai2011
108,Jessy,Steven,,N,Guler2019
109,Elizabeth,Elizabeth,,N,Willems2013
110,Sigal,Dalia,,N,Segev2014
111,SiewEan,SiewEan,,N,Khoo2010
112,Emily,Yu,,N,Greenman2008
113,Dzenana,David,,N,Kartal2018
114,Ora,Ido,,N,Nakash2016
115,Alba,Batja,,N,Jasini2018
116,Nelli,Tara,,N,Ferenczi2013
117,Lorraine,David,,N,Reitzel2010
118,Katharina,Rainer,,N,Stoessel2014
119,So,Annette,,N,Ryu2013
120,Elena,Carmen,,N,Briones2012
121,Virginica,Virginica,,N,Dinut2014
122,Hangyue,Hui,,N,Ngo2016
123,Jaimee,Colleen,,N,Stuart2011
124,Ke,Ke,,N,Fang2016c
125,Kiarri,Martha,,N,Kershaw2012
126,Jeremy,Judith,,N,Kane2016
127,Guowei,Guowei,,N,Jian2012
128,George,George,,N,Kallampally2005
129,Juyeon,Juyeon,,N,Son2013
130,Nancy,Carla,,N,Joseph2013
131,Gooreka,Gooreka,,N,Okahaabwa2015
132,Kathleen,Charamporn,,N,Ford2016
133,Rose,Rose,,N,Perez2011
134,Margaret,Xuanning,,N,Gonsoulin2010
135,Elena,Elena,,N,Shishkin2010
136,Andrey,Andrey,,N,Vinokurov2001
137,Glenda,Glenda,,N,Rose2009
138,Eunju,Michael,,N,Yoon2008
139,Richard,Richard,,N,Merideth2013
140,Trang,Trang,,N,Le2012
141,Fereshteh,Fereshteh,,N,Madjlessi2017
142,Elba,Elba,,N,Benitez2018
143,Jozefien,Heejung,,N,DeLeersnyder2013
144,Damafing,Damafing,,N,Thomas2008
145,Azra,Azra,,N,Siwiec2012
146,Soo,Soo,,N,Sung2011
147,Mindelyn,Mindelyn,,N,Buford2011
148,Manbeena,Manbeena,,N,Sekhon2008
149,Sarita,Sarita,,N,Sankey2018
150,Junghee,Junghee,,N,Yoon2019
151,Adnan,Adnan,,N,Alkhiary2015
152,Irma,Irma,,N,Sharp2010
153,Saba,John,,N,Safdar2017
154,Nazanin,Nazanin,,N,Saghafi2009
155,Nolan,Winnie,,N,Zane2004
156,Michelle,Michelle,,N,Moran2014
157,Elham,Elham,,N,Sadeghi2019
158,Tara,Tara,,N,Gore2019
159,Katja,Klaus,,N,Hanke2017
160,Shuang,Shuang,,N,Liu2006
161,Shannon,Shannon,,N,Feliciano2011
162,Fathali,Richard,,N,Moghaddam1987
163,Sachi,Sachi,,N,Ando2010
164,Swarna,Swarna,,N,Singhal2005
165,Hanna,Demet,,N,Janssen-Kallenberg2017
166,Ahlam,Jerry,,N,Jadalla2015
167,Marilyn,Marilyn,,N,Johnson-Kozlow2010
168,Tamara,Marc,,N,Hennessy-Burt2011
169,Angeles,Rodrigo,,N,Garrido2012
170,David,David,,N,Lindstrom2019
171,May,Corrina,,N,Lim2011b
172,Shuang,Shuang,,N,Liu2007
173,Abdulaziz,Abdulaziz,,N,Ali2008
174,Angela,Angela,,N,Paparusso2019
175,Sara,Marta,,N,Schaefer2009
176,Bee,Kihyun,,N,Ryou2019
177,Nizar,Riadh,,N,Souiden2011
178,Regine,Maya,,N,Debrosse2015
179,Saskias,Saskias,,N,Casanova2011
180,EV,EC,,N,Kateri2019
181,Maria,Maria,,N,Adamuti-Trache2013
182,Irena,Dina,,N,Persky2005
183,Jurgen,Martin,,N,Ruesch1948
184,Chiara,Heather,,N,Sabina2016
185,Saba,Melisa,,N,Safdar2020
186,Ke,Alex,,N,Fang2016b
187,Belinda,Alka,,N,Needham2018
188,Eunjung,Kevin,,N,Kim2010b
