Article,FA,LA,Title,SelfCite,CitationKey
2,Rajiv,Hammond,,N,Jhangiani2014
3,Janice,Salim,,N,Pogue1998
4,Michele,Susumu,,N,Gelfand2011
5,Michael,Graham,,N,Hogg2005
6,Ronald,Ronald,,N,Taft1981
7,Martin,Martin,,N,Heidegger1978
8,Mario,Mario,,N,blaser2009
9,Satsuki,Satsuki,,N,kawano2005
10,Cynthia,Cynthia,,N,robinson2011
11,Ana,Ana,,N,guinote2008
12,Nancy,Nancy,,N,cantor1994
13,Michael,Lisa,,N,boiger2013
14,Richard,Michael,,N,Deyo1985
15,Howard,Donald,,N,Giles1977
16,John,John,,N,Berry1992
17,Jose,Maria,,N,Szapocznik1978
18,Eldar,Eldar,,N,shafir2013
19,,,,Y,kreienkamp2023Blinded
20,Yoshihisa,Yoshihisa,,N,kashima2014
21,Michelle,Colleen,,N,gezentsvey2008
22,Allon,Pazit,,N,vishkin2021
23,Alfred,Clyde,,N,kroeber1952
24,Glenn,Hazel,,N,adams2004
25,Mutsumi,Takahiko,,N,imai2016
26,Batja,Jozefien,,N,mesquita2016
27,Gail,Marc,,N,Ferguson2015
28,John,John,,N,Berry1980
29,,,,N,ICSEYteam2006
30,Gerardo,Raymond,,N,Marin2003
31,Margaret,Margaret,,N,Kovach2009
32,Urie,Urie,,N,Bronfenbrenner1992
33,Georg,Lyn,,N,Eifert1989
34,Jeffrey,Philip,,N,Alexander2001
35,,,,N,AustralianBureauofStatistics2020
36,Veronica,Veronica,,N,BenetMartinez2006
37,Shinobu,Hazel,,N,Kitayama1994
38,,,,N,InstituteofEducationSciences2020
39,,,,Y,Kreienkamp2021e
40,,,,N,HigherEducationStatisticsAgency2013
41,Louise,Louise,,N,Sundararajan2015
42,,,,N,SCImago2020
43,ETextJr,ETextJr,,N,Cross1991
44,Colleen,Colleen,,N,Ward2001
45,Thomas,Thomas,,N,Kuhn1962
46,Jonathan,Jonathan,,N,Turner1997
47,,,,Y,Kreienkamp2021d
48,Alba,Batja,,N,Jasini2018
49,Steven,Steven,,N,Breckler1984
50,,,,N,ThingsmadeThinkable2014
51,John,John,,N,Berry2006a
52,Martin,Martin,,N,Schweinberger2022
53,Icek,Arie,,N,Ajzen2019
54,Martha,Martha,,N,Cottam2010
55,Uichol,YoungShin,,N,Kim2006a
56,Michael,Igor,,N,Varnum2017
57,Bryan,Sehee,,N,Kim2004a
58,Ozgur,Fons,,N,Celenk2011
59,Frenk,Iris,,N,VanHarreveld2015
60,Emile,Emile,,N,Durkheim1982
61,Uichol,Uichol,,N,Kim2010a
62,Gene,Gene,,N,Glass1976
63,Sara,Sara,,N,Ahmed2014
64,Januschka,Januschka,,N,Schmidt2021
65,Adrian,ChristinMelanie,,N,Stanciu2018
66,John,John,,N,Berry2005
67,John,John,,N,Berry2009a
68,Mick,Mick,,N,Smith2016c
69,Lisa,James,,N,FeldmanBarrett2007
70,Cristine,Cristine,,N,Legare2019
71,AL,,,N,VanTilburg1996
72,Debra,Philip,,N,Reece2000
73,Craig,Richard,,N,Smith1990
74,Theodore,Theodore,,N,Graves1967
75,James,James,,N,Cote2009
76,Dina,Corrina,,N,Birman2014c
77,Micah,Cassia,,N,Peters2015
78,David,Brit,,N,Sam2003
79,Walter,Anne,,N,Stephan2000a
80,Alison,Andrew,,N,Cooke2012
81,Markus,Markus,,N,Eronen2021
82,Keith,Roger,,N,Harris2015
83,Aarti,Colin,,N,Iyer2008
84,Tomomi,Tomomi,,N,Matsudaira2006
85,Gerald,Guido,,N,Echterhoff2020
86,Alastair,Alison,,N,Ager2008a
87,Wendy,Colleen,,N,Searle1990
88,Joshua,William,,N,Wilt2016
89,Floyd,Floyd,,N,Rudmin2003a
