Article,FA,LA,Title,SelfCite,CitationKey
2,Jay,Robert,,N,Anderson1993
3,Helen,Steven,,N,Hazuda1988
4,,Mark,,N,Palmer2007
5,Richard,Michael,,N,Deyo1985
6,David,David,,N,Mumford1998
7,Israel,Ricardo,,N,Cuellar1980
8,Bina,Bina,,N,Parekh2000
9,Rory,Yvette,,N,Fitzgerald2014
10,Jose,Maria,,N,Szapocznik1978
11,,,,N,ICSEYteam2006
12,Veronica,Veronica,,N,BenetMartinez2006
13,Sonja,Sonja,,N,Bogumill1998
14,Eliezer,Julius,,N,Ben-Rafael2006
15,Karen,Nancy,,N,Aroian1998
16,Susan,Amado,,N,Keefe1987
17,Bryan,Sehee,,N,Kim2004a
18,George,Kimberly,,N,Knight2010
19,Uichol,Uichol,,N,Kim2010a
20,Linda,Heidie,,N,Tropp1999
21,David,David,,N,Sam1995a
22,Marisol,Juan,,N,Luque2004
23,Belinda,Alka,,N,Needham2017
24,Sehee,Maren,,N,Hong2005
25,Shuang,Shuang,,N,Liu2006
26,Durhane,Diana,,N,Wong-Rieger1987
27,Anne,Carol,,N,Norris1996
28,Teshia,Nell,,N,ArambulaSolomon1999
29,Gerardo,Eliseo,,N,Marin1987
30,Elizabeth,Hope,,N,Klonoff2000
31,Gary,Gary,,N,Montgomery1992
32,Andres,Jeffrey,,N,Barona1994
33,Gerardo,Raymond,,N,Marin1996
34,FI,FI,,N,Soriano1999
35,Ricardo,Harold,,N,Martinez1984
36,John,John,,N,Berry2010
37,Bryan,Peggy,,N,Kim1999
38,Maria,Hector,,N,Felix-Ortiz1994
39,Michael,Michael,,N,Curran2003
40,Khalid,Joseph,,N,Alkhazraji1997
41,Stella,John,,N,Ting-toomey2000
42,Hector,Jennifer,,N,Balcazar1995
43,Stewart,Gregory,,N,Black1989
44,Daniel,Jerry,,N,Williams2003
45,Ahlam,Jerry,,N,Jadalla2015
46,Marilyn,Marilyn,,N,Johnson-Kozlow2010
47,Sonia,Roy,,N,Roccas2008
48,Angeles,Rodrigo,,N,Garrido2012
49,David,David,,N,Lindstrom2019
50,Thomas,Jean,,N,Fuller-Rowell2013
51,Shuang,Shuang,,N,Liu2007
52,Angela,Angela,,N,Paparusso2019
53,Sara,Marta,,N,Schaefer2009
54,Jurgen,Martin,,N,Ruesch1948
55,Corey,Corey,,N,Keyes2002
56,Crista,Carmen,,N,Johnson-Agbakwu2016
57,Tiziana,Benedetta,,N,Mancini2014
58,Matthew,Matthew,,N,Lineberry2012
59,Sumathi,Lorraine,,N,Venkatesh2017
60,Rodrigo,Harry,,N,Marino2000
61,Peter,Peter,,N,Cheung1995
62,Michael,Efi,,N,Madianos2008
63,Sabina,Yochanan,,N,Lissitsa2011
64,Saba,Jan,,N,Safdar2009
65,Paul,Florian,,N,Schmitz2012
66,Mae,Syeda,,N,Abbas2018
67,Israel,Sara,,N,Cuellar2004
68,Declan,Declan,,N,Barry2001
69,Anu,Markku,,N,Yijala2012
70,Emda,Yosef,,N,Orr2003
71,Andrew,David,,N,Mendelson2010
72,Thao,Judy,,N,Le2009
73,Burcin,Heleen,,N,UnluInce2014
74,Jessie,Jessie,,N,Wilson2013
75,Karin,Howard,,N,Amit2010
76,Sookyung,Edward,,N,Lee2003
77,Marisol,Juan,,N,Navas2005
78,Nitasha,Loretta,,N,Nagaraj2018
79,Chunling,Chunling,,N,Wang2007
80,Sima,Sima,,N,Shahim2007
81,Seungjun,Cheong,,N,Moon2007
82,Constantina,Constantina,,N,Badea2012
83,Olga,Athanasios,,N,Kouli2009
84,Jean,Anthony,,N,Phinney2007
85,Dennis,Charles,,N,Nigbur2008
86,Simon,Seth,,N,Ozer2016
87,Colleen,Larissa,,N,Ward2011
88,Marilyn,Carolyn,,N,Tseng2015
89,Indra,Indra,,N,Ekmanis2017
90,Kana,Jihyun,,N,Asano2016
91,Alexi,Holly,,N,Wright2013a
92,Tuuli,Inga,,N,Renvik2018
93,Gonneke,Alfons,,N,Stevens2004
94,Cynthia,Anita,,N,Fan1998
95,Atif,Ian,,N,Kukaswadia2016
96,Robert,Mia,,N,Pawar2014
97,Oliver,Ulrich,,N,Christ2013
98,Alonso,Alonso,,N,Duarte2020
99,AnnMarie,Stan,,N,Yamada1998
100,Stephan,Volker,,N,Bongard2002
101,Eric,Mitchell,,N,Uslaner2005
102,Theresa,Andres,,N,Cruz2008
103,BongHwan,BongHwan,,N,Kim2013
104,JeeSook,JeeSook,,N,Lee2004b
105,Uzi,Uzi,,N,Rebhun2014
106,Ezemenari,Frederick,,N,Obasi2010
107,Kali,Nicolas,,N,Demes2014
108,Hoi,Yoon,,N,Jeong2016
109,Claudia,Colleen,,N,Recker2017
110,John,Colette,,N,Berry2011
111,Melissa,Tracie,,N,Kimber2015
112,Hope,Elizabeth,,N,Landrine1994
113,Ziad,Faye,,N,Swaidan2006
114,Yohanan,Marianna,,N,Eshel2000
115,Maria,Lydia,,N,Zea2003
116,Earl,Alayne,,N,Hishinuma2000
117,Andrew,Mutsu,,N,Cheng1995
