Article,FA,LA,Title,SelfCite,CitationKey
2,Linda,Cristina,,N,Basch1994
3,Robert,Ernest,,N,Park1921
4,Richard,Sacha,,N,Bourhis1997a
5,Donald,Derald,,N,Atkinson1993
6,Howard,Donald,,N,Giles1977
7,John,John,,N,Berry1992
8,Jose,Maria,,N,Szapocznik1978
9,Afaf,Karen,,N,Meleis2000
10,Gail,Marc,,N,Ferguson2015
11,Amado,Amado,,N,Padilla1980
12,ETextJr,ETextJr,,N,Cross1991
13,Alejandro,Min,,N,Portes1993
14,Judit,Fons,,N,Arends-Toth2006a
15,John,John,,N,Berry2005
16,Alisha,Alisha,,N,Ali2010
17,Ursula,Arnd,,N,Piontkowski2002
18,David,Brit,,N,Sam2003
19,Wendy,Colleen,,N,Searle1990
20,Erik,Erik,,N,Cohen2011
21,Milton,Milton,,N,Gordon1964a
22,AnneMarie,Colleen,,N,Masgoret2006
23,Martha,Martha,,N,Baird2012
24,Lisa,Lisa,,N,Penaloza1989
25,Teresa,Jennifer,,N,LaFromboise1993
26,Shahid,Shahid,,N,Karim2021
27,Carl,Jieying,,N,Maertz2016
28,Jayanthi,Jean,,N,Mistry2010
29,John,John,,N,Berry1998
30,Stevan,Ivan,,N,Weine2006
31,Corrina,Dina,,N,Salo2015
32,Marisol,Juan,,N,Navas2005
33,Veronica,Jana,,N,Benet-Martinez2005
34,Stephen,Stephen,,N,Croucher2011
35,Stephen,Eric,,N,Croucher2017
36,Mark,Agata,,N,Loon2021
37,Jennifer,Jennifer,,N,Ballard-Kang2017
38,Marius,Marius,,N,Luedicke2011
39,Sunil,Anjali,,N,Bhatia2009
40,Saranya,Anne,,N,Ramakrishnan2018
41,Maurice,Jens,,N,Crul2010
42,Jennifer,Jennifer,,N,Wood2014
43,Irina,Rainer,,N,Mchitarjan2013
44,Alexandra,Alexandra,,N,Robinson2019
45,Brian,Brian,,N,Nolan2012
46,Richard,Victor,,N,Alba1997
47,Gloria,Gloria,,N,Anzaldua1987
48,Seth,Jose,,N,Schwartz2010a
49,Eugene,Eugene,,N,Tartakovsky2012
50,Martha,Pamela,,N,Baird2015
51,Simy,Ishita,,N,Joy2018
52,Greg,Greg,,N,Madison2006
53,Byeong,Denise,,N,Kim2019
54,Guida,Hannah,,N,DeAbreu2013
55,Sookjung,Sookjung,,N,Lee2018e
56,Hartmut,Hartmut,,N,Esser2004
57,Terri,Fortuna,,N,Mannarini2017
58,ChanHoong,ChanHoong,,N,Leong2014
59,WeiChin,WeiChin,,N,Hwang2006
60,Peter,Peter,,N,Weinreich2009
61,Suzanne,Lilian,,N,Huot2013
62,Dermot,Ciaran,,N,Ryan2008
63,Aida,Mila,,N,Hajro2019
64,Colleen,Larissa,,N,Ward2012
65,Mirsad,Krista,,N,Serdarevic2005
66,Gil,Odelia,,N,Epstein2015
67,JiaYan,JiaYan,,N,Pan2014b
68,Takeyuki,Takeyuki,,N,Tsuda2012
69,Jose,Jocelynda,,N,DelPilar2004
70,Uzi,Gabriel,,N,Ben-Shalom2003
71,Jean,Jean,,N,Phinney1990
72,Amado,William,,N,Padilla2003
73,Jeannette,Hans,,N,Riedel2011
74,Laura,Laura,,N,Enriquez2014
75,Alejandro,William,,N,Portes2009
76,Rose,Ilona,,N,Perez2018
77,Anne,Anne,,N,Alitolppa-Niitamo2004
78,Young,Young,,N,Kim1988
79,Lloyd,Lloyd,,N,Rogler1994
80,Lisa,Lisa,,N,Davenport2017
81,Teemu,Pasi,,N,Kemppainen2020
82,Saba,Ward,,N,Safdar2003
83,Marco,Andrea,,N,Martiniello2014
84,Sun,Sun,,N,Kim2004
85,Thomas,Thomas,,N,Faist2000
86,Colleen,Nicolas,,N,Ward2016
87,LRipley,LRipley,,N,Smith1999c
88,Cornelius,Ingemar,,N,Grove1985
89,Sergio,Sergio,,N,WalsAparicio2009
