"","Source","PublicationType","year","Author","Title","TitleScreening","TitleNote","Abstract","AbstractScreening","AbstractNote","PublicationTitle","ISBN","ISSN","PublicationDate","Volume","Issue","FirstPage","PageCount","Pages","AccessionNumber","DOI","Publisher","Subjects","Keywords","Url","SearchDuplicate","ID","IDDuplicate","CitationKey","Downloaded","AffectConflict","BehaviorConflict","CognitionConflict","DesireConflict","AffectFinal","BehaviorFinal","CognitionFinal","DesireFinal","Discuss","MissingABCD","NoteMissing","lifeDomain","Comment"
"1","Search2020","journalArticle",2019,"Rania, Nadia; Rebora, Stefania; Migliorini, Laura; Navas, Maria Soledad","Acculturation process and life domains: Different perceptions of native and immigrant adults in Italy",1,NA,"Background: Acculturation process has taken up a relevant place in cross-cultural psychology by demonstrating the strong relationships between cultural context and individual behavioral development. Aim: The purpose of this study is to analyse acculturation strategies and attitudes in different life domains of native and immigrant adults living in Italy, following the Relative Acculturation Extended Model (RAEM). Methods: The participants were 250 Italian native and 100 immigrant adults who completed a questionnaire with items to measure their acculturation strategies (real plane) and attitudes (ideal plane), in general and related to different life domains (peripheral and central). Results: Results revealed that the acculturation attitude of immigrants is integration, whereas Italians prefer their assimilation. Conclusion: However, when different life domains are taken into account, immigrants claim to put in practice and prefer integration in most of the domains, whereas Italians perceive immigrants are separated but they prefer their assimilation or integration, depending on the specific domain. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",1,NA,"The Open Psychology Journal",NA,"1874-3501","10/28/2019","12",NA,NA,NA,NA,"2019-17534-001","10.2174/1874350101912010055",NA,"Acculturation; Acculturation domains; Acculturation strategies and attitudes; Adults; Attitudes; Cross Cultural Psychology; Immigrants and Natives; Immigration; Questionnaires; RAEM; Real plane; Social Integration",NA,"http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2019-17534-001&site=ehost-live&scope=site",FALSE,"P-001",NA,"Rania2019","1",NA,NA,NA,NA,NA,1,1,1,NA,0,NA,NA,NA
"2","Search2020","journalArticle",2018,"Harder, Niklas; Figueroa, Lucila; Gillum, Rachel M.; Hangartner, Dominik; Laitin, David D.; Hainmueller, Jens","Multidimensional measure of immigrant integration",1,NA,"The successful integration of immigrants into a host countryâ€™s society, economy, and polity has become a major issue for policymakers in recent decades. Scientific progress in the study of immigrant integration has been hampered by the lack of a common measure of integration, which would allow for the accumulation of knowledge through comparison across studies, countries, and time. To address this fundamental problem, we propose the Immigration Policy Lab (IPL) Integration Index as a pragmatic and multidimensional measure of immigrant integration. The measure, both in the 12-item short form (IPL-12) and the 24-item long form (IPL-24), captures six dimensions of integration: psychological, economic, political, social, linguistic, and navigational. The measure can be used across countries, over time, and across different immigrant groups and can be administered through short questionnaires available in different modes. We report on four surveys we conducted to evaluate the empirical performance of our measure. The tests reveal that the measure distinguishes among immigrant groups with different expected levels of integration and also correlates with well-established predictors of integration. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",1,NA,"PNAS Proceedings of the National Academy of Sciences of the United States of America",NA,"0027-8424","11/6/2018","115","45",NA,NA,"11483-11488","2018-63290-015","10.1073/pnas.1808793115",NA,"Acculturation; Immigration; Social Integration; Economy; immigration; integration; measurement; refugees; Society",NA,"http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2018-63290-015&site=ehost-live&scope=site",FALSE,"P-003",NA,"Harder2018","1",NA,NA,NA,NA,1,1,1,1,NA,0,NA,NA,"development of IPL scale"
"3","Search2020","thesis",2019,"Yoon, Junghee","Purpose development, acculturation, and identity among South Sudanese unaccompanied refugee minors: A multimethod analysis of longitudinal adjustment outcomes",1,NA,"This dissertation includes a qualitative analysis of individual interviews with 19 South Sudanese unaccompanied refugee minors (URMs) and a subsequent quantitative analysis based on 30 survey responses in an effort to understand how South Sudanese URMs have adjusted to their new country, the United States. Each of these studies concerns their sense of purpose, acculturation experiences, and identity development in relation to their educational and occupational achievements, as well as their psychological wellbeing over time. For the qualitative analysis, the participants were interviewed during two different phases of the study. The first set of in-depth individual interviews was conducted in 2007 (Phase 1) with 19 South Sudanese URMs who had resettled in the United States in 2001. From 2014--2015 (Phase 2), 11 of the 19 participants from Phase 1 were interviewed again. Using a modified grounded theory approach, these two sets of qualitative data were analyzed in terms of the participants' purpose development, multidimensional acculturation, identity reformation and integration, educational and occupational achievements, and overall life satisfaction. There are three theoretical frameworks that guide the current research project: a) Damon's purpose-development theory, b) Ferguson's tridimensional acculturation theory, and c) Portes and Zhou's segmented assimilation theory. Based on these three existing theories and their measurements, this study attempts to describe South Sudanese URMs' identified goals, life purposes, major achievements (especially in terms of education and occupation), changes and modifications to their goals, resettlement challenges, social barriers, and how these factors have influenced their long-term adjustment in the U.S. This study's findings reveal the prevalence of an other-oriented/beyond-the-self (BTS) purpose among the South Sudanese URMs that helped them to overcome resettlement challenges and promote positive adjustment and psychological wellbeing. The findings also describe how their process of purpose development was closely related to and influenced by their four-dimensional acculturation experiences, with identity reformation and integration providing insights into their educational and occupational achievements and general life satisfaction as the determinants of long-term adjustment. In the following complementary quantitative study, a questionnaire was developed using existing scales and measurements to evaluate the levels of general purpose and BTS purpose, variables of resettlement challenges such as emotional strain and perceived discrimination, and key adjustment outcomes such as educational and occupational attainment. As a result of multiple regression analyses, the moderation effect of prosocial purpose was found to be statistically significant in promoting better adjustment outcomes by buffering the negative impact of resettlement challenges. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",1,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,"2019-00352-258",NA,"ProQuest Information & Learning","Acculturation; acculturation; identity formation; Identity Formation; Prosocial Behavior; prosocial purpose; refugee minors; Refugees",NA,"http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2019-00352-258&site=ehost-live&scope=site",FALSE,"P-004",NA,"Yoon2019","1",NA,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,"thesis, also includes prupose, identity, and work/educational archievement (but differentiated from acculturation=identification)"
"4","Search2020","journalArticle",2019,"Haase, Anna; Rohmann, Anette; Hallmann, Katrin","An ecological approach to psychological adjustment: A field survey among refugees in Germany",1,NA,"The situation of refugees in Germany and other countries is a current and important matter. The present study adopts an ecological approach to investigate how refugees perceive the welcoming climate in Germany and the consequences of this perception. To further explore the refugeesâ€™ situation, we examined several predictors of their psychological adjustment and acculturation attitudes. In a field study in Eastern Germany with N = 94 refugees as participants, we assessed the perceived context of reception, and perceived acculturation attitudes as contextual variables, discrimination and contact as intergroup variables and, on the individual level, psychological adjustment as well as the personal acculturation attitudes as dependent variables. The results revealed that more perceived discrimination resulted in an increase in reported psychological problems. Refugees living in asylum centers reported more psychological problems and more perceived discrimination than those living in independent housing. The perceived context of reception positively predicted refugeesâ€™ desire for maintenance of intergroup relations with the host society. Positive intergroup contact lowered their desire for cultural maintenance. In sum, this study gives us rare and valuable insight into refugeesâ€™ perspectives in the context of recent immigration to Germany. In doing so, it emphasizes the importance of a welcoming climate. The study shows how meaningful the assessment of the perceived context of reception is. Practical implications for fields such as the accommodation of refugees are discussed. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",1,NA,"International Journal of Intercultural Relations",NA,"0147-1767","2019-01","68",NA,NA,NA,"44-54","2018-66762-005","10.1016/j.ijintrel.2018.10.003",NA,"Acculturation; Refugees; Adjustment; Context; Discrimination; Emotional Adjustment; Germany",NA,"http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2018-66762-005&site=ehost-live&scope=site",FALSE,"P-005",NA,"Haase2019","1",NA,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,"also measures psychological adjustment (https://www.wgtn.ac.nz/cacr/research/mirips/mirips-questionnaires-and-presentations/MIRIPSquestionnaire.pdf). Acculturation as predictor and DV(!)"
"5","Search2020","journalArticle",2019,"Hashemi, Neda; Marzban, Maryam; Sebar, Bernadette; Harris, Neil","Acculturation and psychological well-being among Middle Eastern migrants in Australia: The mediating role of social support and perceived discrimination",1,NA,"Objectives: The aim of this study is to examine the relative contribution of acculturation, perceived social support, and perceived discrimination on psychological well-being (PWB) among Middle Eastern (ME) migrants in Australia. Method(s): A cross-sectional study was conducted in Queensland, Australia. A total of 382 first-generation young adult (aged 20â€“39 years) ME migrants completed a self-administered questionnaire. The hypothesised model was tested through a two-step process: measurement, and structural model testing. First, Confirmatory Factor Analysis (CFA) was applied to test the fit of the measurement model and reliability and validity indices were calculated. Structural Equations Modelling (SEM) was then used to test the structural model. The significance of the mediating effect was tested using bootstrapping method. Results: Mainstream acculturation had the greatest accumulated total effect on PWB through both a direct and an indirect effect via perceived discrimination. Ethnic acculturation had the second greatest total effect on PWB, with both a direct effect and indirect effects through perceived social support and perceived discrimination. Perceived discrimination demonstrated both a direct effect and an indirect effect on PWB through perceived social support. Perceived social support had only a direct effect on PWB. Conclusions: Facilitating ME migrantsâ€™ active participation in both ethnic and mainstream societies is important. Moreover, developing ethnic communities associations and resources could be an effective option to provide social support to ME migrants and in turn to improve their PWB. To provide ME migrants with better mental health outcomes, there is still a need to minimize the discrimination against them. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",1,NA,"International Journal of Intercultural Relations",NA,"0147-1767","2019-09","72",NA,NA,NA,"45-60","2019-50233-006","10.1016/j.ijintrel.2019.07.002",NA,"Acculturation; Test Construction; Discrimination; Australia; Ethnic acculturation; Human Migration; immigrants; Mainstream acculturation; Middle East; Perceived discrimination; Perceived social support; Psychological well-being; Race and Ethnic Discrimination; Social Support; Well Being",NA,"http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2019-50233-006&site=ehost-live&scope=site",FALSE,"P-006",NA,"Hashemi2019","1",NA,NA,NA,NA,1,1,1,NA,NA,0,NA,NA,NA
"6","Search2020","bookSection",2017,"Safdar, Saba; Gui, Yongxia; Annis, Robert C.; Gibson, Ryan; Berry, John W.","Intercultural relations in Canada",1,NA,"Intercultural relations and acculturation in Canada are complex phenomena, involving many groups, such as Indigenous Peoples, immigrants and refugees, ethnocultural groups and sojourners. In this chapter, we report on two studies, one with international students and the other with foreign workers. In both cases, we also include samples from the larger Canadian population with whom they are in contact. The international student study is presented first, followed by the worker study. A general discussion follows the presentation of both studies. With respect to the place of Canada on the three indexes, Canada places highest on the diversity index, near the top on the integration index and second on the policy index. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",1,NA,"Mutual intercultural relations","978-1-107-18395-7",NA,"2017",NA,NA,NA,NA,"353-374","2017-53660-017",NA,"Cambridge University Press","Acculturation; Immigration; Social Integration; Test Construction; acculturation; Experimentation; multiculturalism; Multiculturalism; mutual intercultural relations; social contact; social integration; Social Interaction; social issues; Social Issues; test construction",NA,"http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2017-53660-017&site=ehost-live&scope=site",FALSE,"P-007",NA,"Safdar2017","1",NA,NA,NA,NA,NA,NA,1,1,NA,0,NA,NA,NA
"7","Search2020","journalArticle",2015,"Salo, Corrina D.; Birman, Dina","Acculturation and psychological adjustment of Vietnamese refugees: An ecological acculturation framework",1,NA,"Acculturation to the culture of the host society as well as to oneâ€™s heritage culture have been shown to impact immigrantsâ€™ adjustment during the years following resettlement. While acculturation has been identified as an important factor in adjustment of Vietnamese immigrants (Birman and Tran in Am J Orthopsychiatr 78(1):109â€“120. doi: 10.1037/0002-9432.78.1.109 , 2008), no clear pattern of findings has emerged and too few studies have employed an ecological approach. The purpose of this paper is to contextualize the study of acculturation and adjustment by taking an ecological approach to exploring these relationships across several life domains, using a bilinear scale, and examining mediators of these relationships for adult Vietnamese refugees (N = 203) in the United States. We call this approach the Ecological Acculturation Framework (EAF). Results of a structural equation model (SEM) showed that job satisfaction fully mediated the relationship between American acculturation and psychological distress, demonstrating that this relationship was specific to an occupational domain. However, while Vietnamese acculturation predicted co-ethnic social support satisfaction, it did not predict reduced psychological distress. Implications for a life domains approach, including domain specificity, are discussed. (PsycINFO Database Record (c) 2017 APA, all rights reserved)",1,NA,"American Journal of Community Psychology",NA,"0091-0562","2015-12","56","3-Apr",NA,NA,"395-407","2015-46519-001","10.1007/s10464-015-9760-9",NA,"Acculturation; Refugees; Emotional Adjustment; Social Support; Adaptation, Psychological; Adult; Aged; Cross-Sectional Studies; Emigration and Immigration; Female; Humans; Job Satisfaction; Life domain specificity; Male; Maryland; Middle Aged; Occupation; Occupations; Refugee; Social support; Socioeconomic Factors; Stress, Psychological; Structural Equation Modeling; Surveys and Questionnaires; United States; Vietnam; Vietnamese Cultural Groups; Young Adult",NA,"http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2015-46519-001&site=ehost-live&scope=site",FALSE,"P-008",NA,"Salo2015","1",NA,NA,NA,NA,1,1,1,NA,NA,0,NA,NA,NA
"8","Search2020","journalArticle",2019,"Testa, Silvia; Doucerain, Marina M.; Miglietta, Anna; Jurcik, Tomas; Ryder, Andrew G.; Gattino, Silvia","The Vancouver Index of Acculturation (VIA): New evidence on dimensionality and measurement invariance across two cultural settings",1,NA,"The Vancouver Index of Acculturation (VIA) is a self-report bidimensional instrument that has been employed in several cultural contexts to assess migrantsâ€™ orientations toward mainstream and heritage traditions. Although it has shown good reliability and validity in the past, recent theoretical developments and empirical studies have suggested the VIA might assess more than two dimensions. Moreover, measurement invariance of this instrument across demographic subgroups has never been assessed before. With the aim of evaluating these psychometric issues, exploratory factor analysis and Rasch modeling were conducted on data from two samples of immigrants to Canada (N = 224) and to Italy (N = 266). Results supported the hypothesized two-factor structure, with Rasch modeling showing that items within a subscale differed in terms of 'difficulty' in being endorsed, but still belonged to a single factor. Differential item functioning analysis results showed measurement invariance across gender, age and education subgroups. Most results converged across the two samples. (PsycINFO Database Record (c) 2019 APA, all rights reserved)",1,NA,"International Journal of Intercultural Relations",NA,"0147-1767","2019-07","71",NA,NA,NA,"60-71","2019-34218-007","10.1016/j.ijintrel.2019.04.001",NA,"Acculturation; Immigration; Measurement Invariance; immigrants; Canada; Demographic Characteristics; demographics; Dimensionality; European Cultural Groups; Italy; Measurement invariance; Psychological acculturation; psychometrics; reliability; Test Reliability; Test Validity; validity; Vancouver Index of Acculturation",NA,"http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2019-34218-007&site=ehost-live&scope=site",FALSE,"P-009",NA,"Testa2019","1",NA,NA,NA,NA,1,1,1,NA,NA,0,NA,NA,NA
"9","Search2020","journalArticle",2017,"Roblain, Antoine; Malki, Bachar; Azzi, Assaad; Licata, Laurent","After coming in, settling in: An analysis of early-stage acculturation preferences of male Syrian and Iraqi asylum seekers in Belgium",1,NA,"Despite the current societal emergency, little is known about the acculturation processes undergone by Syrian and Iraqi asylum seekers. The present paper investigates their early-stage acculturation preferences in relation to their perception of majority membersâ€™ acculturation expectations and to their settlement intentions. 103 Syrian and Iraqi male asylum seekers were recruited during the peak of the 2015 'refugee crisis' in a provisional reception centre and completed a brief questionnaire. Results showed that asylum seekers reported a high willingness to participate in the host society and to adopt the host culture, while maintaining their culture of origin. Moreover, as predicted, asylum seekersâ€™ settlement intentions and their perceptions of majority membersâ€™ acculturation expectations were key predictors of their own acculturation preferences. Implications for integration policies are discussed. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",1,NA,"International Review of Social Psychology",NA,"0992-986X","2/13/2017","30","1",NA,NA,NA,"2017-30358-001","10.5334/irsp.49",NA,"Acculturation; Refugees; Asylum seekers; Asylum Seeking; Intention; Migrant crisis; Settlement intentions",NA,"http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2017-30358-001&site=ehost-live&scope=site",FALSE,"P-010",NA,"Roblain2017","1",NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA
"10","Search2020","journalArticle",2018,"Baranik, Lisa E.; Hurst, Carrie S.; Eby, Lillian T.","The stigma of being a refugee: A mixed-method study of refugees' experiences of vocational stress",1,NA,"This concurrent embedded mixed-method study examined vocational stressors and coping mechanisms among refugees. Results from a content analysis of open-ended surveys collected from 159 refugees show that the most frequently reported refugee vocational stressor was access and opportunity (31% of comments made about vocational stressors). This meta-theme encompasses feeling as though past work experience is discounted in the job search, struggles with the job search, and exploitation (e.g., low pay). Other meta-themes included acculturative, discrimination, interpersonal, financial and personal vocational stressors. Qualitative accounts of coping revealed reflection and relaxation (25%) and problem-solving actions (24%) as the most commonly reported coping mechanisms. In addition, refugee-specific coping mechanisms (17%) were frequently reported, and referred to building language skills, engaging in assimilation and multicultural activities, and seeking social support from other refugees. Using the meta-themes that emerged in each vocational stressor category, t-test results show that the experience of discrimination stressors was related to higher levels of self-reported anxiety, depression and sleep disturbances. In addition, the use of avoidance-oriented coping mechanisms was associated with maladaptive outcomes, such as depression, sleep disturbances, and anxiety. Taken together, our results indicate that refugees face many of the vocational stressors typically studied in the occupational health literature (e.g., underemployment). The current study also uncovered unique vocational stressors and coping mechanisms, including evidence for a refugee-specific stigma experienced during the job search process and among refugees who are currently employed. Recommendations for theoretical implications and future research on refugee vocational stressors and coping mechanisms are discussed. (PsycINFO Database Record (c) 2018 APA, all rights reserved)",1,NA,"Journal of Vocational Behavior",NA,"Jan-91","2018-04","105",NA,NA,NA,"116-130","2017-49062-001","10.1016/j.jvb.2017.09.006",NA,"Acculturation; Refugees; acculturative; coping mechanism; discrimination; Occupational Stress; refugee; stigma; vocational stressor",NA,"http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2017-49062-001&site=ehost-live&scope=site",FALSE,"P-011",NA,"Baranik2018","1",NA,NA,NA,NA,NA,1,1,NA,NA,0,NA,NA,NA
