"","Source","PublicationType","year","Author","Title","TitleScreening","TitleNote","Abstract","AbstractScreening","AbstractNote","PublicationTitle","PublicationTitleProper","ISSN","eISSN","ISBN","PublicationDate","Volume","Issue","FirstPage","LastPage","PageCount","Pages","Cited Reference Count","Times Cited, WoS Core","Times Cited, All Databases","180 Day Usage Count","Since 2013 Usage Count","AccessionNumber","DOI","PubMed","Publisher","PublisherCity","PublisherAddress","Subjects","Keywords","Url","SearchDuplicateDOI","SearchDuplicateTitle","DuplicateAny","ID","IDDuplicate","Downloaded","DownloadReason","Extracted","ExtractedReason","TheoryName","Comment"
"1","WebOfScience","Article",2021,"Murayama, K; Nagayasu, J","Toward Coexistence of Immigrants and Local People in Japan: Implications from Spatial Assimilation Theory",0,"not ABCD","We investigate the validity of spatial assimilation theory (SAT), which predicts geographical dispersion of immigrants from ethnically concentrated areas to non-concentrated areas as time elapses. This can be tested by analyzing the concentration tendency among immigrants who arrive in Japan from overseas and relocate within the country. Using spatial models, we find that immigrants from overseas tend to move to ethnically concentrated regions in Japan, which is in line with SAT. By contrast, this trend substantially weakens with their subsequent domestic relocation, and it differs by national group. The results reveal slow assimilation among nationals from countries characterized as being low-income or culturally dissimilar from Japan. Based on these findings, we discuss potential deficiencies in a new immigration policy (2018), which has been designed to increase the number of immigrants and compensate for a labor shortage in Japan.",NA,NA,"SUSTAINABILITY","Sustainability",NA,"2071-1050",NA,NA,13,"7",NA,NA,16,NA,46,0,0,0,0,"WOS:000638922100001","10.3390/su13073849",NA,"MDPI","BASEL","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,"spatial assimilation; social integration; spatial interaction model; migration; Japan",NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"2","WebOfScience","Article; Early Access",NA,"Komisarof, A","A new framework of workplace belonging: Instrument validation and testing relationships to crucial acculturation outcomes",0,"not acculturation","Contemporary global migrant flows challenge national ingroup boundaries, leading to demands for greater inclusivity of those migrants in receiving societies worldwide. Utilizing the specific case of Japanese and foreigners in Japan, this study aimed to validate Komisarof's framework of workplace belonging. The framework refines understanding of how perceptions of belonging - particularly the degrees to which people see themselves accepted as members of another group's cultural-linguistic community and as core members of their shared work organization - impact quality and effectiveness of intercultural work relations for both migrants and members of the host society. Instruments measuring both dimensions of belonging were validated first through a review of potential items by a panel of experts, followed by an exploratory factor analysis of retained items with a sample of 228 respondents (116 Japanese and 112 non-Japanese representing 24 nationalities). Relationships between four permutations of belonging, termed ontological interpretive spaces (OIS), and four outcome variables (job effectiveness, flourishing, organizational commitment, and intercultural competence) were hypothesized and tested. Significant effects of OIS were found for job effectiveness, flourishing, and organizational commitment, providing evidence of belonging's effects on these crucial acculturation outcomes in intercultural work contexts.",NA,NA,"JOURNAL OF INTERNATIONAL AND INTERCULTURAL COMMUNICATION","Journal Of International And Intercultural Communication","1751-3057","1751-3065",NA,NA,NA,NA,NA,NA,22,NA,40,0,0,2,2,"WOS:000632713300001","10.1080/17513057.2021.1897152",NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","ABINGDON","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",NA,"Inclusion; acculturation in Japan; migrant belonging; national identity; workplace belonging",NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"3","WebOfScience","Article",2021,"Karim, S","Acculturation in a globalised world: implications for theory and educational policy and practice",1,NA,"Purpose This article examines the existing body of knowledge on acculturation, identifies the gaps, discusses its potential consequences for theory and proposes a possible way forward for educational policy and practice in the globalised world. Design/methodology/approach The body of knowledge on acculturation has developed tremendously during the last century. However, some scholars are critical of its impact on acculturating people, particularly in the societies of settlement. This paper adopted an integrative literature review approach to critique and synthesise the published text on acculturation and education in the era of globalisation. Findings Despite phenomenal growth in acculturation research and theory, the dominant perspectives and research methodologies hardly help to respond to the emerging trends in intercultural contact and its associated issues in education. A culture learning approach to the study of acculturation can help address the existing gaps, extend the theory, draw contextualised conclusions and take appropriate steps in education to prepare younger generations for an interconnected and interdependent world. Research limitations/implications Researchers and practitioners in education may need to be sensitive to the sociopolitical realities in a given context and contextualise their educational endeavours in preparing younger generations for an ever-changing social world. Practical implications This narrative review suggests that an intercultural learning approach to education in contemporary times may better facilitate acculturation processes amongst immigrants and non-immigrants alike. Educational systems in multicultural societies may need to undertake context-specific interventions for immigrant children and adolescents in helping them acculturate to the societies of their settlement. Social implications An intercultural approach to education in general and social studies education, in particular, can help younger generations better respond to the emerging trends of acculturation in the multicultural societies of their residence. Originality/value Given that young people follow diverse trajectories of acculturation, irrespective of their status of immigration, researchers in cross-cultural studies may need to reflect on existing theories, approaches, frameworks and methodologies with greater sensitiveness to the ecological context, cultural distance hypothesis and the nature of intercultural contact for a deeper understanding of immigrants' acculturation in plural societies.",1,NA,"INTERNATIONAL JOURNAL OF COMPARATIVE EDUCATION AND DEVELOPMENT","International Journal Of Comparative Education And Development","2396-7404","2309-4907",NA,NA,23,"1",44,"58",15,NA,86,0,0,0,0,"WOS:000631021800004","10.1108/IJCED-11-2020-0078",NA,"EMERALD GROUP PUBLISHING LTD","BINGLEY","HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND",NA,"Globalisation; Intercultural contact; Acculturation; Culture learning; Education",NA,FALSE,FALSE,FALSE,"T-001",NA,1,NA,1,NA,NA,"review used"
"4","WebOfScience","Article; Early Access",NA,"Dawson, AZ; Walker, RJ; Gregory, C; Egede, LE","Contributions of social determinants of health to systolic blood pressure in United States adult immigrants: Use of path analysis to validate a conceptual framework",0,"not acculturation","Objective Validate a conceptual framework and identify pathways between antecedent (life-course socioeconomic status (L-SES)), predisposing (age, sex, married, homeless as a child), enabling (health literacy, acculturation), and need (disability) social determinants of health (SDoH) and systolic blood pressure (SBP) in US immigrants. Methods 181 immigrants were enrolled in the study. Path analysis was used to identify paths by which SDoH influence SBP and to determine if antecedents, predisposing, enabling, and need factors have direct and indirect relationships with SBP. Results The final model(chi(2)(5)=14.88, p = 0.011, RMSEA = 0.070, pclose = 0.17, CFI = 0.96) showed L-SES was directly associated with age (0.12, p = 0.019) and disability(0.17, p = 0.001); and indirectly associated with disability (0.29, p < 0.001) and SBP (0.31, p < 0.001). Age (0.31, p < 0.001) and sex(0.25, p < 0.001) were directly associated with SBP, and age was directly associated with disability (0.29, p < 0.001) and indirectly associated with SBP(0.14, p = 0.018). Other predisposing factors such as being married (-0.32, p < 0.001) and being homeless as a child alone (0.16, p < 0.001) were directly associated with disability and indirectly associated (0.14, p = 0.018) with SBP. Enabling factor of health literacy (0.16, p = 0.001) was directly associated with disability and indirectly associated (0.14, p = 0.018) with SBP. Need factor of disability (0.14, p = 0.018) was directly associated with SBP. Conclusions This study provides the first validation of a conceptual model for the relationship between SDoH and SBP among immigrants and identifies potential targets for focused interventions.",NA,NA,"CHRONIC ILLNESS","Chronic Illness","1742-3953","1745-9206",NA,NA,NA,NA,NA,NA,13,NA,38,0,0,0,0,"WOS:000630562500001","10.1177/17423953211000412",33726528,"SAGE PUBLICATIONS LTD","LONDON","1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",NA,"Social determinants; immigrant; blood pressure",NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"5","WebOfScience","Article; Early Access",NA,"Karim, S","Acculturation in a globalised world: implications for theory and educational policy and practice",NA,NA,"Purpose - This article examines the existing body of knowledge on acculturation, identifies the gaps, discusses its potential consequences for theory and proposes a possible way forward for educational policy and practice in the globalised world. Design/methodology/approach - The body of knowledge on acculturation has developed tremendously during the last century. However, some scholars are critical of its impact on acculturating people, particularly in the societies of settlement. This paper adopted an integrative literature review approach to critique and synthesise the published text on acculturation and education in the era of globalisation. Findings - Despite phenomenal growth in acculturation research and theory, the dominant perspectives and research methodologies hardly help to respond to the emerging trends in intercultural contact and its associated issues in education. A culture learning approach to the study of acculturation can help address the existing gaps, extend the theory, draw contextualised conclusions and take appropriate steps in education to prepare younger generations for an interconnected and interdependent world. Research limitations/implications - Researchers and practitioners in education may need to be sensitive to the sociopolitical realities in a given context and contextualise their educational endeavours in preparing younger generations for an ever-changing social world. Practical implications - This narrative review suggests that an intercultural learning approach to education in contemporary times may better facilitate acculturation processes amongst immigrants and non-immigrants alike. Educational systems in multicultural societies may need to undertake context-specific interventions for immigrant children and adolescents in helping them acculturate to the societies of their settlement. Social implications - An intercultural approach to education in general and social studies education, in particular, can help younger generations better respond to the emerging trends of acculturation in the multicultural societies of their residence. Originality/value - Given that young people follow diverse trajectories of acculturation, irrespective of their status of immigration, researchers in cross-cultural studies may need to reflect on existing theories, approaches, frameworks and methodologies with greater sensitiveness to the ecological context, cultural distance hypothesis and the nature of intercultural contact for a deeper understanding of immigrants' acculturation in plural societies.",NA,NA,"INTERNATIONAL JOURNAL OF COMPARATIVE EDUCATION AND DEVELOPMENT",NA,"2396-7404","2309-4907",NA,NA,NA,NA,NA,NA,15,NA,86,0,0,0,0,"WOS:000627194700001","10.1108/IJCED-11-2020-0078",NA,"EMERALD GROUP PUBLISHING LTD","BINGLEY","HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND",NA,"Globalisation; Intercultural contact; Acculturation; Culture learning; Education",NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
"6","WebOfScience","Article; Early Access",NA,"McCann, WS; Zhang, SJ; Boateng, FD","Immigrants, Crime, and the American Dream: Testing a Segmented Assimilation Theory of Crime",1,NA,"The immigrant-crime relationship is often misunderstood and highly complex. To date, criminological research has largely ignored theory testing of this relationship. This paper examines the extant literature on intergenerational offending amongst immigrant youth and subsequently tests whether the segmented assimilation theory- a theory borrowed from the interdisciplinary social sciences- adequately explains immigrant offending. The study uses data (N = 1,267) from the Pathways to Desistance Study (PTD) to examine intergenerational differences in changes to offending between immigrant youth and the native-born. The analyses largely reveal that the theory, based on its original assumptions, fails to adequately explain youth offending, and that the models provide more support for the straight-line theory of assimilation in regards to delinquency. Limitations and recommendations are discussed and proffered, respectively.",0,"not theory","INTERNATIONAL JOURNAL OF OFFENDER THERAPY AND COMPARATIVE CRIMINOLOGY","International Journal Of Offender Therapy And Comparative Criminology","0306-624X","1552-6933",NA,NA,NA,NA,NA,NA,27,NA,64,0,0,0,0,"WOS:000626679200001","10.1177/0306624X21994061",33567954,"SAGE PUBLICATIONS INC","THOUSAND OAKS","2455 TELLER RD, THOUSAND OAKS, CA 91320 USA",NA,"crime; assimilation; segmented assimilation; immigrant; delinquency",NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"7","WebOfScience","Article; Early Access",2021,"Erlinghagen, M","The transnational life course: an integrated and unified theoretical concept for migration research",1,NA,"Migration research developed significantly in the past decades. However, with the life course approach and the concept of transnational migration, there are still two different, as yet largely unconnected conceptual perspectives on migration. Both approaches have their merits but also their shortcomings. This paper tries to overcome these shortcomings by combining the advantages of both perspectives to suggest a unified theoretical concept of transnational life courses (TNLC). TNLC builds on the multidimensional understanding of transnational migration research that (potential) migrants live in multiple social and cultural spaces leading to parallel assimilation and dissimilation processes. This perspective is merged with the life course approach with its chronologically ordered understanding of causality relying on preceding determinants and subsequent outcomes in form of events and periods. Based on data provided by the German Emigration and Remigration Panel Study (GERPS) some simple empirical analyses were conducted to illustrate the potential of the TNLC approach.",1,NA,"ETHNIC AND RACIAL STUDIES","Ethnic And Racial Studies","0141-9870","1466-4356",NA,NA,NA,NA,NA,NA,28,NA,91,0,0,2,2,"WOS:000619068000001","10.1080/01419870.2021.1880014",NA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","ABINGDON","2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",NA,"Integration; life course; transnational migration; assimilation; dissimilation; cultural spaces",NA,FALSE,FALSE,FALSE,"T-002",NA,1,NA,1,NA,"transnational life courses theory",NA
"8","WebOfScience","Article; Early Access",2021,"Loon, M; Vitale, A","A liminal lens on integrating refugees into the workplace: Conceptualising a theoretical model",1,NA,"The integration of refugees into workplaces in their destination country remains a global concern. We meet the challenge of this problem by conceptualising a theoretical model using a liminal lens; more specifically, through the three thematic lenses of liminality as process, liminality as position and liminality as place. By addressing the research question; 'how does a liminal lens provide new insights into refugees' integration into the workplace?' we make three contributions to extant literature. First, we offer a dynamic perspective of refugees' integration into the workplace. Second, we provide a synthesis that brings together key factors at the micro, meso and macro levels that are germane to refugees' assimilation into the workplace. Finally, we contribute to human resource (HR) literature by showing a more nuanced view of the role of human resource management, specifically how an ambidextrous HR architecture can help firms explore refugees as a talent pool, while exploiting existing talents.",1,NA,"HUMAN RESOURCE MANAGEMENT JOURNAL","Human Resource Management Journal","0954-5395","1748-8583",NA,NA,NA,NA,NA,NA,23,NA,119,0,0,5,5,"WOS:000614895000001","10.1111/1748-8583.12338",NA,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA",NA,"ambidexterity; HR architecture; liminality; refugees; workforce integration",NA,FALSE,FALSE,FALSE,"T-003",NA,1,NA,1,NA,"Liminal Integration Lens",NA
"9","WebOfScience","Article; Early Access",NA,"Parke, RD; Cookston, JT","Transnational Fathers: New Theoretical and Conceptual Challenges",1,NA,"We propose a transactional model of risk and resilience and ambiguous loss as theoretical guides to understanding transnational fathering. We also examine the risk and buffering conditions associated with each temporal aspect of the migrant journey of transnational fathers beginning with the initial decision to leave their country of origin to their process of resettlement in a destination country. In addition, we examine the effects of the absence of transnational fathers from their family on the fathers themselves, their partners, and their children. We critically explore the buffering effects of communication at a distance as a strategy for reducing the risks associated with the migration experience of transnational fathers and examine the buffering role of substitute caregivers in the home country as a means of reducing the risk associated with the absence of fathers on children. New directions for future work in this area are noted.",0,"not theory","JOURNAL OF FAMILY THEORY & REVIEW","Journal Of Family Theory & Review","1756-2570","1756-2589",NA,NA,NA,NA,NA,NA,17,NA,77,1,1,2,2,"WOS:000589519900001","10.1111/jftr.12392",NA,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","MIGRANT PARENTS; AMBIGUOUS LOSS; CHILDREN; MIGRATION; FAMILIES; ACCULTURATION; RESILIENCE; SEPARATION; DEPORTATION; REMITTANCES","family; work issues; fathers; nontraditional family structures; transnational",NA,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"10","WebOfScience","Article; Early Access",2020,"Lakshman, C; Lakshman, S; Gok, K","Biculturalism and cross-cultural competence: examination of an attribution complexity theory-based model",1,NA,"Purpose Based on attributional complexity (AC) theory, the authors empirically examine the impact of biculturalism on cross-cultural adjustment and the degree to which people make isomorphic attributions, critical for cross-cultural leadership effectiveness. Design/methodology/approach Using questionnaire surveys, the authors first validate measures in a validation sample and then empirically test the model in a second sample, using structural equation modeling. Findings The authors' findings reveal an empirical connection between biculturalism and AC on the one hand, while also showing support for the relationship between biculturalism and attributional knowledge. Findings also demonstrate that biculturalism is related to attributional accuracy in cross-cultural contexts via an attributional mechanism, as suggested by AC theory. Research limitations/implications First, AC theory emerges as one with excellent prospects for explaining intercultural work in multicultural settings. Biculturalism's links to AC and attributional knowledge are critical for extensions to cross-cultural leadership effectiveness, and international knowledge transfer, interesting and high potential research avenues for the discipline. Practical implications The authors' findings carry a host of managerial implications. AC training can provide all international assignees with the necessary foundational skills and learning abilities to successfully interact in the host country setting with local nationals. This study also suggests that managers on international assignments should focus their efforts on acquiring attributional knowledge because it can provide a solid boost to their understanding of the local culture. Originality/value One's understanding of biculturals and their cross-cultural management competencies is very limited. The authors provide empirical support for the hypotheses, hitherto unexamined in extant literature.",1,NA,"CROSS CULTURAL & STRATEGIC MANAGEMENT","Cross Cultural & Strategic Management","2059-5794",NA,NA,NA,NA,NA,NA,NA,20,NA,45,0,0,7,7,"WOS:000592464000001","10.1108/CCSM-03-2020-0081",NA,"EMERALD GROUP PUBLISHING LTD","BINGLEY","HOWARD HOUSE, WAGON LANE, BINGLEY BD16 1WA, W YORKSHIRE, ENGLAND","DISTANCE; ASSIMILATION; ADJUSTMENT; BUSINESS; CONTRAST","Biculturalism; Migrants; Isomorphic attributions; Cross-cultural adjustment; Attributional complexity (AC); Attributional knowledge",NA,FALSE,FALSE,FALSE,"T-004",NA,1,NA,0,"not theory",NA,NA
