Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A bidimensional model of acculturation for Korean American older adults","Jang, Yuri; Kim, Giyeon; Chiriboga, David; King-Kallimanis, Bellinda","Journal of Aging Studies",="08904065",,="Aug2007","21","3","267","9","25596006","10.1016/j.jaging.2006.10.004","Elsevier B.V.","Article","UNITED States; ASSIMILATION (Sociology); ACCULTURATION; ETHNOLOGY -- United States","Bidimensional model of acculturation; Korean American older adults","Abstract: With the growth of immigrant populations and the increasing awareness and appreciation for the cultural diversity in the U.S., the present study assessed a model of acculturation with a sample of Korean American older adults. We addressed a bidimensional model of acculturation, considering both orientations toward home and host cultures, and assessed the relevance of Berry''s four-cell typology of acculturation (integration, assimilation, separation, and marginalization). Based on the unique characteristics of the present sample, including that they were all born in Korea and had been exposed to their home culture for a substantial amount of time, we hypothesized that their orientation towards original culture would be strong and that simple application of Berry''s four-cell typology would not be relevant. As expected, scores on Korean orientation were distributed toward the high end of the scale, suggesting a high level of familiarity and adherence to the original culture; scores on American orientation were correspondingly low. Cluster analysis showed that a two-cluster model was an optimal group classification in the sample used in this investigation. The groups were identified as “integrated group” and “separated group.” Compared to the separated group, integrated group was more likely to be younger, married, and educated. More years of residence in the U.S. and better physical and mental health were observed among those who were integrated. The findings call attention to the needs to consider the unique nature of immigrant samples in order to adequately apply the acculturation typologies.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=25596006&site=ehost-live&scope=site"
"A national study of gender and racial differences in colorectal cancer screening among foreign-born older adults living in the US.","Cofie, Leslie E.; Hirth, Jacqueline M.; Cuevas, Adolfo G.; Farr, Deeonna","Journal of Behavioral Medicine",="01607715",,="Jun2020","43","3","460","8","143245312","10.1007/s10865-019-00107-3","Springer Nature","Article","UNITED States; IMMIGRANTS -- United States; HEALTH services accessibility -- United States; ACCULTURATION; CITIZENSHIP; COLON tumors; COMPARATIVE studies; CONFIDENCE intervals; ETHNIC groups; HEALTH services accessibility; HEALTH status indicators; HISPANIC Americans; INTERVIEWING; RACE; RECTUM tumors; SEX distribution; SURVEYS; WHITE people; MULTIPLE regression analysis; EARLY detection of cancer; ODDS ratio","Cancer screening; Colorectal cancer; Gender; Immigrants; Older adults; Racial/ethnic minorities","This study examined within group heterogeneity in colorectal cancer screening (CRCS) among foreign-born individuals. Data were from the 2010, 2013 and 2015 National Health Interview Survey data on older adults (N = 5529). In 2018, multivariable logistic regression analysis was conducted to determine whether gender and race/ethnicity were associated with CRCS after controlling for sociodemographic, health access, and acculturation related factors. Overall, Asians were significantly less likely to report CRCS compared with Whites (aOR 0.63, CI 0.52–0.76). Hispanic race/ethnicity was negatively associated with CRCS among men (aOR 0.68, CI 0.50–0.91), but not women compared to white men/women, respectively. Additionally, factors associated with CRCS include having fair/poor health, usual source of care, insurance, ≥ 10 years of US residency and citizenship. Screening disparities experienced by these immigrants may be addressed by improving healthcare access, especially for noncitizens and those with limited healthcare access.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=143245312&site=ehost-live&scope=site"
"A person-centered and ecological investigation of acculturation strategies in Hispanic immigrant youth.","Coatsworth, J. Douglas; Maldonado-Molina, Mildred; Pantin, Hilda; Szapocznik, José","Journal of Community Psychology",="00904392",,="Mar2005","33","2","157","18","15806330","10.1002/jcop.20046","Wiley-Blackwell","Article","ETHNICITY; ANTHROPOLOGY; CIVILIZATION; ASSIMILATION (Sociology); ACCULTURATION; CULTURAL pluralism",,"Understanding the processes of acculturation in ethnic minority populations is one of the central tasks of crosscultural research. Addressing challenges of theory, methods, and application in acculturation research requires ongoing advancements in methods and theoretical and model development. The current study was designed to explain a person-centered approach to investigating acculturation and biculturalism and to illustrate this method with a sample of 315 Hispanic youth. Pattern analyses of the Hispanicism and Americanism scores from the Bicultural Involvement Scale yielded four distinct acculturation types, including one characterized by moderate scores on both scales. Relations between acculturation types and indicators of individual, family, and peer adaptation were tested. Results indicated that bicultural youth tended to show the most adaptive pattern of functioning across multiple sociocultural domains. Assimilated youth did not show as strongly negative a pattern as has been reported elsewhere. Implications and benefits of a person-centered approach are discussed. © 2005 Wiley Periodicals, Inc. J Comm Psychol 33: 157–174, 2005.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=15806330&site=ehost-live&scope=site"
"A systematic review of correlates of depression among older Chinese and Korean immigrants: what we know and do not know.","Guo, Man; Stensland, Meredith","Aging & Mental Health",="13607863",,="Dec2018","22","12","1535","13","134609583","10.1080/13607863.2017.1383971","Taylor & Francis Ltd","Article","CHINA; KOREA; UNITED States; MENTAL depression risk factors; ACCULTURATION; CINAHL (Information retrieval system); FAMILIES; IMMIGRANTS -- Psychology; PSYCHOLOGY information storage & retrieval systems; MEDLINE; MENTAL health; MULTIVARIATE analysis; ONLINE information services; SYSTEMATIC reviews (Medical research); ASIANS; SOCIAL support; OLD age; PSYCHOLOGY","Asian Americans; Depression; family support; immigrants; social support","Objectives: Guided by the stress and coping theory, this study provides a systematic review of existing research on acculutration, family support, and social support related correlates of depression among older Chinese and Korean immigrants in the United States. Method: A comprehensive literature search was conducted in CINAHL Plus, Abstracts in Social Gerontology, AgeLine, Social Work Abstracts, PubMed, PsychINFO, and Social Science Citation Index databases to identify relevant articles that presented multivariate analysis results. Results: A total of 55 articles were identified, with the vast majority focusing on older Korean immigrants. The overall evidence showed that length of residence was largely unrelated to depression, and poor Enligsh proficiency also had a weak correlation with depression. However, a low level of acculturation measured by multidimensional scales was consistently associated with more depressive symptoms. Overall, living arrangements and the size and frequency of contact of both kin and non-kin networks were weak correlates of depression. In contrast, negative family and social interactions seem to be more consequential for depression in the two groups than positive relations and support. Conclusion: The findings show that established acculturation instruments are useful tools to identify at-risk older Chinese and Korean immigrants. Future studies need to further examine which aspects of acculturation experience are more influential for immigrants' mental health. Although often conceptualized as important coping resources, family and social networks could present significant stressors for older immigrants. Future research and services could focus on these contexts to improve the mental health of these two rapidly increasing Asian populations.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=134609583&site=ehost-live&scope=site"
"Access to and Use of Health Services Among Undocumented Mexican Immigrants in a US Urban Area.","Nandi, Arijit; Galea, Sandra; Lopez, Gerald; Nandi, Vijay; Strongarone, Stacey; Ompad, Danielle C.","American Journal of Public Health",="00900036",,="Nov2008","98","11","2011","10","35119067","10.2105/AJPH.2006.096222","American Public Health Association","Article","NEW York (N.Y.); NEW York (State); UNITED States; UNDOCUMENTED immigrants -- United States; UNDOCUMENTED immigrants -- Medical care; EMERGENCY medical services; MEDICAL care; PUBLIC health -- United States",,"Objectives. We assessed access to and use of health services among Mexican-born undocumented immigrants living in New York City in 2004. Methods. We used venue-based sampling to recruit participants from locations where undocumented immigrants were likely to congregate. Participants were 18 years or older, born in Mexico, and current residents of New York City. The main outcome measures were health insurance coverage, access to a regular health care provider, and emergency department care. Results. In multivariable models, living in a residence with fewer other adults, linguistic acculturation, higher levels of formal income, higher levels of social support, and poor health were associated with health insurance coverage. Female gender, fewer children, arrival before 1997, higher levels of formal income, health insurance coverage, greater social support, and not reporting discrimination were associated with access to a regular health care provider. Higher levels of education, higher levels of formal income, and poor health were associated with emergency department care. Conclusions. Absent large-scale political solutions to the challenges of undocumented immigrants, policies that address factors shown to limit access to care may improve health among this growing population. (Am J Public Health. 2008;98:2011-2020. doi:10.2105/AJPH.2006.096222)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=35119067&site=ehost-live&scope=site"
"Acculturation and bicultural efficacy effects on Chinese American immigrants' diabetes and health management.","Chun, Kevin; Kwan, Christine; Strycker, Lisa; Chesla, Catherine","Journal of Behavioral Medicine",="01607715",,="Oct2016","39","5","896","12","117902115","10.1007/s10865-016-9766-2","Springer Nature","Article","UNITED States; ACCULTURATION; CHI-squared test; CONFIDENCE; MENTAL depression; DISTRESS (Psychology); HEALTH surveys; TYPE 2 diabetes; PROBABILITY theory; PSYCHOLOGICAL tests; PSYCHOMETRICS; QUALITY of life; QUESTIONNAIRES; REGRESSION analysis; RESEARCH funding; SATISFACTION; PSYCHOLOGICAL stress; DISEASE management; ASIANS; SOCIAL support; SYMPTOMS; DATA analysis software; GLYCEMIC control; PSYCHOLOGY","Acculturation; Bicultural efficacy; Chinese American; Diabetes; Immigrant health","The article presents a study that examined the effects of bicultural efficacy or perceived confidence in dealing with bicultural acculturation stressors on type 2 diabetes management and health for first-generation, Cantonese-speaking, Chinese American immigrants. Topics discussed include testing the new Bicultural Efficacy in Health Management (BEFF-HM) scale as a more robust predictor of diabetes and health outcomes than proxy and general acculturation measures.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=117902115&site=ehost-live&scope=site"
"Acculturation and Its Relationship to Smoking and Breast Self-Examination Frequency in African American Women.","Guevarra, Josephine; Kwate, Naa; Tang, Tricia; Valdimarsdottir, Heiddis; Freeman, Harold; Bovbjerg, Dana","Journal of Behavioral Medicine",="01607715",,="Apr2005","28","2","191","9","16902742","10.1007/s10865-005-3668-z","Springer Nature","Article","ACCULTURATION; SMOKING; MEDICAL self-examination; AFRICAN American women; TOBACCO use; AMERICAN women; PREVENTIVE medicine","acculturation; African American; breast self exam; smoking","The concept of acculturation has been used to understand differences in health behaviors between and within a variety of racial and ethnic immigrant groups. Few studies, however, have examined the potential impact of acculturation on health behaviors among African Americans. The present study has two goals: 1) to reconfirm relations between acculturation and cigarette smoking; 2) to investigate the impact of acculturation on another type of health behavior, cancer screening and specifically breast self-examination (BSE). African American women (N= 66) attending an inner-city cancer-screening clinic completed study questionnaires. Results reconfirmed psychometric properties of the African American Acculturation Scale (AAAS); replicated the negative association between acculturation and lifetime smoking status; and found relations between acculturation and women’s adherence to BSE frequency guidelines. Findings from this study raise the possibility that specific aspects of acculturation may better explain specific health behaviors.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=16902742&site=ehost-live&scope=site"
"Acculturation and Low-Birthweight Infants among Latino women: A Reanalysis of HHANES Data with Structural Equation Models.","Cobas, José A.; Balcazar, Hector; Benin, Mary B.; Keith, Verna M.; Yinong Chong","American Journal of Public Health",="00900036",,="Mar1996","86","3","394","3","9604032297","10.2105/AJPH.86.3.394","American Public Health Association","Article","ACCULTURATION; LOW birth weight; MOTHERS; IMMIGRANTS; HISPANIC Americans; SMOKING; DIET",,"Previous studies have demonstrated that acculturation is associated with negative birth outcomes among mothers in numerous immigrant populations, including Latinas. This study used structural equation models to reanalyze data employed in the 1989 Scribner and Dwyer study on the effect of acculturation (measured through the Cuellar scale) on mothers' low-birthweight status. Data revealed that language components dominate the effects of acculturation on low-birthweight status. Acculturation appears to affect low-birth- weight status indirectly through smoking and dietary intake but not through parity. Acculturation has a persistent direct effect on low -birthweight status, suggesting that other intervening variables are operant.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=9604032297&site=ehost-live&scope=site"
"Acculturation and Personality as Predictors of Stress in Japanese and Japanese-Americans.","Padilla, Amado M.; Wagatsuma, Yuria; Lindholm, Kathryn J.","Journal of Social Psychology",="00224545",,="Jun1985","125","3","295","11","5392601","10.1080/00224545.1985.9922890","Taylor & Francis Ltd","Article","PSYCHOLOGICAL stress; PERSONALITY; CONSCIOUSNESS; MENTAL health; JAPANESE; SELF-esteem",,"The experience of stress and personality variables among 114 Japanese and Japanese-American students undergoing differing degrees of acculturation was studied. Self-esteem, introversion-extraversion, and locus of control were measured with standard instruments. A stress scale designed for immigrant students was used as well as new scales for acculturation and values. Students were grouped into first, second, and third/later generations. Results from several analyses indicated that different generational groups reported different levels of stress, values, and acculturation. In addition, generational groups differed in self-esteem and locus of control: First-generation students experienced the most stress, were low in self-esteem, and were more externally oriented than third/later generation students. Also, self-esteem and acculturation level were good predictors of stress in all generations.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=5392601&site=ehost-live&scope=site"
"Acculturation and quality of life among Chinese American breast cancer survivors: The mediating role of self-stigma, ambivalence over emotion expression, and intrusive thoughts.","Tsai, William; Wu, Ivan H.C.; Lu, Qian","Psycho-Oncology",="10579249",,="May2019","28","5","1063","8","136270525","10.1002/pon.5053","Wiley-Blackwell","journal article","CHINESE Americans; BREAST cancer; CANCER patients; ACCULTURATION; QUALITY of life","acculturation; ambivalence over emotional expression; cancer; Chinese; intrusive thoughts; oncology; quality of life; self‐stigma","<bold>Objectives: </bold>Highly acculturated Chinese American breast cancer survivors have greater access to health care providers, are English language proficient, and have more knowledge about the health care system. However, less is known about the potential psychosocial factors that may account for the health benefits of acculturation. As such, the current study seeks to understand how mainstream acculturation is associated with higher quality of life by investigating self-stigma, ambivalence over emotion expression (AEE), and intrusive thoughts, as serial mediators among Chinese breast cancer survivors.<bold>Methods: </bold>One hundred twelve Chinese American breast cancer survivors completed a self-reported questionnaire with these trait variables.<bold>Results: </bold>We found support for a serial multiple mediation hypothesis in which mainstream acculturation was indirectly associated with quality of life through self-stigma, AEE, and intrusive thoughts. Specifically, mainstream acculturation was associated with lower self-stigma, which, in turn, was associated with lower AEE and intrusive thoughts and subsequently resulted in lower quality of life among Chinese American breast cancer survivors.<bold>Conclusions: </bold>The findings suggest that psychosocial factors are important mechanisms through which acculturation is associated with quality of life among Chinese American breast cancer survivors. As Chinese immigrants acculturate to mainstream American culture, they may benefit from the reduced public stigma toward breast cancer and incorporate new post-immigration knowledge about cancer that protects them from high levels of self-stigma. This, in turn, may lead Chinese American breast cancer survivors to experience lower AEE and intrusive thoughts and subsequently experience higher quality of life.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=136270525&site=ehost-live&scope=site"
