Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A comparison of conceptual models of depression and anxiety in Chinese Americans and European Americans and the role of culture.","Ferri, Lucia Victoria","Dissertation Abstracts International: Section B: The Sciences and Engineering",="04194217",="9781124610313",="20120101","72","7-B","4317","1","2012-99020-351",,"ProQuest Information & Learning","Dissertation","Anxiety; Cross Cultural Differences; Major Depression; Chinese Cultural Groups; Adulthood (18 yrs & older)",,"The underutilization and poor engagement of Chinese American populations in professional mental health services within the United States has been well documented (Akutsu, Snowden, & Organista, 1996; Bui & Takeuchi, 1992; Ying & Hu, 1994). Though a number of barriers toward professional treatment of this minority population have been considered, a significant barrier, namely the unique conceptualization of mental distress within this ethnic population and its divergence from mainstream American models of illness, has rarely been explored in depth. Further, though conceptual models and beliefs about depression in different ethnic groups have been addressed, the literature on conceptual models of anxiety is scarce. This investigation explored and compared conceptual models of anxiety and depression as well as treatment preferences in a largely immigrant, adult Chinese American sample and an adult European American sample in the United States. This study further explored the relationships between the cultural variables of individualism and collectivism, acculturation, and conceptual models of depression and anxiety. Results from this study did not support hypotheses that Chinese Americans would endorse more collectivistic values than European Americans, finding only that European Americans endorsed independent self-construal values to a greater degree than Chinese Americans. Conceptual models were found to differ between ethnic groups with European American participants endorsing biopsychiatic models of depression and anxiety significantly more than Chinese American participants, though both groups were found to demonstrate mixed models including biological, situational, and psychological causes for distress. Though European Americans were found to prefer psychotherapy as treatment more than Chinese Americans, medication and lay referral treatment preferences were not found to be different between groups in quantitative analyses. Qualitative analyses, however, revealed some of the stigma attitudes in Chinese Americans regarding professional mental health treatment. Results suggested that higher American acculturation significantly correlated with chemical biological causal models and psychological models of mental health distress. However, results did not support the hypothesis that cultural values such as individualism/collectivism or independent/interdependent self construal would be better predictors of conceputal model than ethnic group background. American acculturation also was not found to moderate the relationship between ethnicity and conceptual model of distress. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2012-99020-351&site=ehost-live&scope=site"
"A conceptual framework for understanding Latino immigrant’s ambiguous loss of homeland.","Perez, Rose M.; Arnold-Berkovits, Ilona","Hispanic Journal of Behavioral Sciences",="07399863",,="20180501","40","2","91","24","2018-22409-002","10.1177/0739986318761058","Sage Publications","Journal Article","Acculturation; Immigration; Refugees; Homesickness; Latinos/Latinas; Nostalgia; Adulthood (18 yrs & older); Male; Female",,"Understanding the complex psychological processes that underlie post-migration experiences can assist those settling into a new land. We propose a conceptual framework that examines two distinct emotional experiences—ambiguous loss of homeland (ALH) and relative satisfaction (RS) between the country of origin (CO) and the host country. This framework emerges from interviews with 55 Spanish-speaking immigrants to the United States and results in four quadrants: (1) 'pulled there' (feels loss of homeland strongly and prefers CO to the United States); (2) 'neither here nor there' (does not feel loss of homeland strongly, however, prefers CO to the United States); (3) 'mostly here' (does not feel loss of homeland strongly and prefers the United States); and (4) 'here but pulled there' (feels loss of homeland strongly, however, prefers the United States). The conceptual framework of ALH and RS contributes to the immigration literature and is not exclusive to Latinos, but to the growing global immigrant and refugee population. (PsycINFO Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2018-22409-002&site=ehost-live&scope=site"
"A conceptual model for studying parenting behaviors in immigrant populations.","Foss, Gwendolyn F.","Advances in Nursing Science",="01619268",,="19961201","19","2","74","14","1997-02321-005","10.1097/00012272-199612000-00009","Lippincott Williams & Wilkins","Journal Article","Acculturation; Immigration; Models; Parent Child Relations; Parental Characteristics; Parents; Adulthood (18 yrs & older)",,"Modified the theoretical framework of parenting behavior and predictive determinants developed by J. Belsky (see record 71- 17961) to illustrate the determinants of parenting in immigrants who make the transition to parenthood and cultural transition simultaneously. Belsky did not address economic issues, family adversity, or stressful life events. The primary focus is on the contextual determinants of premigration, postmigration, ethnicity, and the sociopolitical environment. Possible directions for nursing practice and research are proposed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=1997-02321-005&site=ehost-live&scope=site"
"A critical review and development of a conceptual model of exclusion from social relations for older people.","Burholt, Vanessa; Winter, Bethan; Aartsen, Marja; Constantinou, Costas; Dahlberg, Lena; Feliciano, Villar; De Jong Gierveld, Jenny; Van Regenmortel, Sofie; Waldegrave, Charles","European Journal of Ageing",="16139372",,="20200301","17","1","3","17","2019-10214-001","10.1007/s10433-019-00506-0","Springer","Journal Article","Aging; Economic Development; Social Acceptance; Social Integration; Social Interaction; Adulthood (18 yrs & older); Aged (65 yrs & older)",,"Social exclusion is complex and dynamic, and it leads to the non-realization of social, economic, political or cultural rights or participation within a society. This critical review takes stock of the literature on exclusion of social relations. Social relations are defined as comprising social resources, social connections and social networks. An evidence review group undertook a critical review which integrates, interprets and synthesizes information across studies to develop a conceptual model of exclusion from social relations. The resulting model is a subjective interpretation of the literature and is intended to be the starting point for further evaluations. The conceptual model identifies individual risks for exclusion from social relations (personal attributes, biological and neurological risk, retirement, socio-economic status, exclusion from material resources and migration). It incorporates the evaluation of social relations, and the influence of psychosocial resources and socio-emotional processes, sociocultural, social-structural, environmental and policy contextual influences on exclusion from social relations. It includes distal outcomes of exclusion from social relations, that is, individual well-being, health and functioning, social opportunities and social cohesion. The dynamic relationships between elements of the model are also reported. We conclude that the model provides a subjective interpretation of the data and an excellent starting point for further phases of conceptual development and systematic evaluation(s). Future research needs to consider the use of sophisticated analytical tools and an interdisciplinary approach in order to understand the underlying biological and ecopsychosocial associations that contribute to individual and dynamic differences in the experience of exclusion from social relations. (PsycINFO Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2019-10214-001&site=ehost-live&scope=site"
"A culturally relevant conceptualization of depression: An empirical examination of the factorial structure of the Vietnamese Depression Scale.","Dinh, Tam Q.; Yamada, Ann Marie; Yee, Barbara W. K.","International Journal of Social Psychiatry",="00207640",,="20091101","55","6","496","10","2009-20721-002","10.1177/0020764008091675","Sage Publications","Journal Article","Concept Formation; Major Depression; Psychometrics; Rating Scales; Refugees; Psychosocial Factors; Risk Factors; Sociocultural Factors; Test Reliability; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Middle Age (40-64 yrs); Aged (65 yrs & older); Very Old (85 yrs & older); Male; Female",,"Background: Despite the high risk of depression among Vietnamese refugees, there has been insufficient attention to the psychometric properties of the most utilized scale, the Vietnamese Depression Scale (VDS: Kinzie et al., 1982). Aim: The primary aim of the study is to empirically derive the factorial structure of the VDS to support its use as a culturally responsive depression screening tool in community samples of Vietnamese adults. Method: The factorial structure, reliability, and associations of the VDS factors with recognized socio-demographic correlates were examined using data collected from interviews with a non-probability community sample of 180 Vietnamese refugee adults in the Houston area. Results: The empirically derived factorial structure of the VDS approximated the theorized conceptualization of depression introduced by the scale’s originators. Three factors (depressed affect, somatic symptoms, and cultural-specific symptoms) accounted for 65% of the variance. As hypothesized, the VDS factors correlated with age and acculturation variables. Conclusion: Overall results suggest that the conceptualization of depression among this sample of Vietnamese refugees has both universal and culturally specific features. Implications for providing culturally responsive mental health services are offered. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2009-20721-002&site=ehost-live&scope=site"
"A family beliefs framework for socially and culturally specific preventive interventions with refugee youths and families.","Weine, Stevan; Feetham, Suzanne; Kulauzovic, Yasmina; Knafl, Kathleen; Besic, Sanela; Klebic, Alma; Mujagic, Aida; Muzurovic, Jasmina; Spahovic, Dzemila; Pavkovic, Ivan","American Journal of Orthopsychiatry",="00029432",,="20060101","76","1","1","9","2006-03377-001","10.1037/0002-9432.76.1.1","Educational Publishing Foundation","Journal Article","Cultural Sensitivity; Family; Intervention; Refugees; Values; Grounded Theory; Childhood (birth-12 yrs); Adulthood (18 yrs & older); Male; Female",,"To assist in designing socially and culturally specific preventive interventions for refugee youths and families, this study identified the processes by which refugee families adapt and apply family beliefs concerning youths. A grounded-theory model constructed with ATLAS/ti for Windows and named the family beliefs framework describes (a) family beliefs concerning refugee youths, (b) contextual factors interacting with these family beliefs, (c) adaptation of family beliefs concerning refugee youths, and (d) the interplay of adapting family beliefs and behaviors concerning refugee youths. Preventive interventions for refugee youths and families would be more socially and culturally specific if they addressed the specific processes of adapting family beliefs experienced by refugee youths and their families amid transitions and traumas. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2006-03377-001&site=ehost-live&scope=site"
"A framework for clinical practice with sexual and gender minority asylum seekers.","Alessi, Edward J.; Kahn, Sarilee","Psychology of Sexual Orientation and Gender Diversity",="23290382",,="20171201","4","4","383","9","2017-45094-001","10.1037/sgd0000244","Educational Publishing Foundation","Journal Article","Refugees; Resilience (Psychological); Sexual Orientation; Asylum Seeking; Complex PTSD; Acculturation; Bisexuality; Clinical Practice; Lesbianism; Male Homosexuality; Minority Groups; Stress; Transgender",,"In many countries around the world, sexual and gender minority individuals experience gross human rights violations and therefore must conceal their identities to survive. Without adequate protections, these individuals are forced to flee to countries such as the United States and Canada. By the time sexual and gender minority asylum seekers (SGMAS) arrive in these countries, they may suffer from depression, posttraumatic stress disorder, and complex trauma. SGMAS may struggle with these mental health problems while also attempting to navigate the difficulties of migration (e.g., locating housing and employment, filing an asylum claim). The extant literature on refugee and sexual and gender minority populations, however, may not provide adequate guidance to therapists who assist SGMAS. Therefore, this article presents a framework for clinical practice with SGMAS. This framework is informed by research on complex trauma, minority stress, acculturation/integration, and resilience. The 3 components of the framework are establishing safety and stability in treatment and in the environment, developing skills for managing the asylum claims process, and providing strategies for dealing with the challenges of resettlement. These components are intended to help clients to heal from trauma, handle the demands of acculturation, and cope with minority stress. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2017-45094-001&site=ehost-live&scope=site"
"A multilevel framework exploring domestic violence against immigrant Indian and Pakistani women in the United States.","Adam, Najma M.; Schewe, Paul A.","Journal of Muslim Mental Health",="15564908",,="20070301","2","1","5","16","2007-15084-002","10.1080/15564900701238468","Taylor & Francis","Journal Article","Acculturation; Domestic Violence; Immigration; South Asian Cultural Groups; Employment Status; Marital Status; Patriarchy; Victimization; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Female",,"The purpose of this study was to gather preliminary data about the experience of domestic violence from the perspective of immigrant Indian and Pakistani women residing in the United States. Using hierarchical linear regression, we explored the association between individual-, familial-, and cultural-level variables and the experience of domestic violence as assessed by the four aggression subscales of the Revised Conflict Tactics Scale. Our sample consisted of 78 women who were Indian, residents of Illinois, between 18 and 35 years old, college educated, and employed. Most of the women were married. Results showed a 77% prevalence rate and a 71% incidence rate for the experience of domestic violence for the women in our sample. Results of the hierarchical linear regression analysis indicated that level of education, employment status, domestic violence among immediate and extended family members, and cultural belief in male domination were significantly associated with domestic violence. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2007-15084-002&site=ehost-live&scope=site"
"A multilevel research framework for the analyses of attitudes toward immigrants.","Leong, Chan-Hoong","International Journal of Intercultural Relations",="01471767",,="20080301","32","2","115","15","2008-04414-004","10.1016/j.ijintrel.2007.10.002","Elsevier Science","Journal Article","Acculturation; Adjustment; Cross Cultural Differences; Immigration; Attitudes; Adulthood (18 yrs & older); Male; Female",,"Traditional research in acculturation and adjustment has mostly been done from a sojourner's or immigrant's perspective. The current research, however, centers on the recipient nationals' attitudes toward immigrants and multiculturalism. Three distinctive frameworks to examine host nationals' perceptions are proposed based on (1) intergroup relations, (2) individual level differences, and (3) cultural level differences. Five studies were conducted in line with the three frameworks using attitudes toward immigrants as the common dependent measure. Based on the intergroup framework, Studies 1 and 2 examined the influence of intergroup contact, national pride, perceived permeability, fairness, intergroup threat, and host community acculturation strategies. Results showed that decreased contact and increased threat predicted less favorable perception toward immigrants (Study 1); respondents who espoused a need for immigrant assimilation and exclusionism, and those who espoused a less individualistic perception toward migration expressed more negative immigrant attitudes (Study 2). In the second framework on individual differences, the influence of personal enduring dispositions on immigrant attitudes was examined. The independent variables included social dominance orientation, self-esteem, individualism-collectivism, national pride, and Schwartz's personal values. Low self-esteem and individualism, and high social dominance predicted less favorable attitudes toward immigrants. Furthermore, high social dominance predicted less favorable perceptions but only among host nationals who also rated high on individualism (Study 3). Regarding personal values orientation, respondents who placed greater emphasis on security and achievement motivation expressed more negative attitudes, but endorsement of the stimulation value type predicted more favorable perceptions (Study 4). In the third and final framework, effects of cultural differences on immigrant attitudes were examined (Study 5). Secondary data from the Eurobarometer [Eurobarometer, 2000. Attitudes towards minority groups in the European Union: A special analysis of the Eurobarometer 2000 opinion poll on behalf of the European Monitoring Centre on Racism and Xenophobia. Eurobarometer Opinion Poll. Retrieved September 1, 2003 from http://europa.eu.int/comm/public_opinion/index_en.htm] and Hofstede's cultural typologies were used. Masculinity was associated with reduced multicultural optimism and support for policies that promote social co-existence; uncertainty avoidance, collectivism, and power distance were related to weaker support for multicultural policies. Overall, two broad dimensions of acculturation experience emerged from the research, the first one is based on an 'invasion' perspective and the second one reflects an 'enrichment' experience. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2008-04414-004&site=ehost-live&scope=site"
"A multi-level research framework for the analyses of attitudes toward immigrants.","Leong, Chan-Hoong","Dissertation Abstracts International: Section B: The Sciences and Engineering",="04194217",,="20060101","67","5-B","2877","1","2006-99022-159",,"ProQuest Information & Learning","Dissertation","Cross Cultural Differences; Immigration; Individual Differences; Racial and Ethnic Attitudes; Multiculturalism; Intergenerational Relations; Social Adjustment",,"Contemporary research on acculturation tended to focus on the sojourners' or immigrants' perspectives on adaptation. The current dissertation however, centers on recipient nationals' attitudes toward immigrants and perceptions of multiculturalism. Three distinctive frameworks to study host nationals' perceptions are adopted; they include: (1) intergroup relations, (2) individual differences, and (3) cultural differences. Five separate studies were done based on the three frameworks using attitudes toward Chinese immigrants as the dependent measure in all except the final study. Based on the intergroup framework, Study 1 and 2 examined the influence of intergroup contact, national pride, perceived permeability, fairness, threat and host community acculturation strategies. Results showed that decreased contact and increased threat predicted less favorable perception towards immigrants (Study 1); respondents who espoused a need for immigrant assimilation and exclusionism, and those who adopted a less individualistic perception towards migration tended to express a more negative attitude (Study 2). Based on an individual differences framework, Study 3 and 4 examined the influence of social dominance orientation, self-esteem, individualism-collectivism, national pride and personal values. Increased self-esteem and collectivism predicted more favorable attitudes toward immigrants, and increased social dominance orientation predicted less favourable perceptions among host nationals who rated high on individualism (Study 3); respondents who placed greater emphases on security and achievement motivation have expressed more negative attitudes, but endorsement of stimulation value predicted more favourable perceptions (Study 4). In the final study, cultural differences were adopted as correlates of attitudes. Secondary data from the Eurobarometer (2000) and Schwartz's and Hofstede's typologies of cultural differences were used. Based on Schwartz's model, increased mastery was associated with less multicultural optimism; increased egalitarian commitment was linked to lesser support for policies that promote co-existence; and increased harmony was related to less demand for cultural assimilation. Based on Hofstede's model, increased masculinity was associated with less multicultural optimism and lower demand for cultural assimilation; and increased uncertainty avoidance was related to decreased multicultural optimism. Overall, two broad dimensions of acculturation experience have emerged from the research, first one is based on an 'invasion' perspective and the second one reflects an 'enrichment' experience. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2006-99022-159&site=ehost-live&scope=site"
